0.063,0.0513
0.074313,0.0617782
0.0731192,0.0605845
0.0595461,0.0556415
0.0971845,0.0836238
0.0965036,0.0883648
0.0431098,0.046629
0.0823803,0.0722238
0.0397554,0.0388912
0.052814,0.0476192
0.060485,0.0680456
0.0776953,0.0789093
0.0889617,0.0755565
0.0757057,0.0828031
0.0955119,0.0682228
0.0882808,0.0786062
0.0626736,0.060715
0.101596,0.0887627
0.078342,0.0861762
0.0665627,0.0632891
0.0575005,0.0521098
0.0674487,0.0674487
0.096701,0.0836627
0.0672497,0.0735544
0.0630902,0.0579047
0.0625803,0.0705451
0.0751181,0.0596829
0.0778508,0.0788751
0.0728487,0.0618715
0.0789637,0.084886
0.0693109,0.0663404
0.0574135,0.0483482
0.0707627,0.0754181
0.0882902,0.0640104
0.0896658,0.0702202
0.105078,0.0848705
0.128425,0.0903731
0.109749,0.0910508
0.133946,0.101758
0.117923,0.101658
0.125333,0.0843746
0.128425,0.0903731
0.109749,0.0910508
0.133946,0.101758
0.117923,0.101658
0.125333,0.0843746
0.135746,0.105948
0.123617,0.0916617
0.177258,0.156805
0.141762,0.123805
0.116891,0.0840155
0.196899,0.161559
0.119123,0.106968
0.132351,0.114129
0.0979492,0.101947
0.104997,0.0908627
0.112617,0.0960995
0.130458,0.096171
0.109553,0.0917394
0.12476,0.0933575
0.12199,0.094542
0.128663,0.0899798
0.113932,0.101273
0.128663,0.0899798
0.113932,0.101273
